Time,Acceleration_g
0.0,0.0
0.1,0.05
0.2,0.1
0.30000000000000004,-0.02
0.4,0.08
0.5,0.12
0.6000000000000001,0.04
0.7000000000000001,-0.01
0.8,0.06
0.9,0.11
1.0,0.02
1.1,-0.03
1.2000000000000002,0.0
1.3,0.07
1.4000000000000001,0.1
1.5,0.09
1.6,0.03
1.7000000000000002,-0.01
1.8,0.05
1.9000000000000001,0.08
2.0,0.0
2.1,-0.02
2.2,0.01
2.3000000000000003,0.06
2.4000000000000004,0.09
2.5,0.07
2.6,0.02
2.7,-0.01
2.8000000000000003,0.03
2.9000000000000004,0.05
3.0,0.0
3.1,-0.02
3.2,0.01
3.3000000000000003,0.04
3.4000000000000004,0.07
3.5,0.06
3.6,0.01
3.7,-0.02
3.8000000000000003,0.02
3.9000000000000004,0.04
4.0,0.0
4.1000000000000005,-0.01
4.2,0.01
4.3,0.03
4.4,0.06
4.5,0.05
4.6000000000000005,0.0
4.7,-0.01
4.800000000000001,0.02
4.9,0.03
5.0,0.0
